Category;Brand;Product;Variant;SKU;Price;Old price;Currency ID;Weight;Stock;Units;Visible;Featured;Meta title;Meta keywords;Meta description;Annotation;Description;Images;URL;to__okaycms__rozetka 1;to__okaycms__google_merchant 1;volume;to__okaycms__hotline 1;color;size;shape;material
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 13";sam13814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;13;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 12";sam12814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;12;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 11";sam11814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;11;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 10";sam10814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;10;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 9";sam9814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";;;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;9;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 8";sam8814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";;;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;8;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 7";sam7814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;7;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 6";sam6814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;6;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 5";sam5814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;5;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 4";sam4814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;4;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 3";sam3814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;3;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 2";sam2814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;2;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 4 колір 1";sam1814;3150;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;1;8;1;4
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 14";sam14813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;14;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 13";sam13813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;13;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 12";sam12813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;12;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 11";sam11813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;11;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 10";sam10813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;10;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 9";sam9813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;9;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 8";sam8813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;8;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 7";sam7813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;7;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 6";sam6813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;6;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 5";sam5813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;5;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 4";sam4813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;4;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 3";sam3813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;3;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 2";sam2813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;2;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 3 колір 1";sam1813;3750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;1;8;1;3
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 2 колір 14";sam14812;2750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;14;8;1;2
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 2 колір 13";sam13812;2750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;13;8;1;2
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 2 колір 12";sam12812;2750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;12;8;1;2
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 2 колір 11";sam11812;2750;;4;0.00;;;1;0;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;11;8;1;2
